fin_levels,thickness_mm,gap_mm,root_radius_mm,span_mm,duct,oil_w,h_a,h_b,h_delta,dp_max_pa,dp_delta,t_max_c,pass
14,2.0,3.5,2.0,100.0,open,1200.0,147.28395394124863,144.74596182452657,0.01753411345456962,814.1969712149155,0.09752534497623833,274.6208660937863,False
14,2.0,3.5,4.0,100.0,splitter12,600.0,200.75471528958968,194.3376925254905,0.03301995964193869,4991.461590937183,0.07026418246019632,274.7060212328687,False
12,2.0,4.5,2.0,86.0,splitter12,1200.0,201.84321579487525,193.94798036086192,0.040708005411159015,5598.531195280001,0.13240185531801513,275.8367351342524,False
12,2.4,3.5,2.0,100.0,open,1200.0,169.2006403204294,165.88158092115194,0.0200086072296061,1137.1841994654608,0.13600302551347523,276.38209205150235,False
12,2.0,4.5,3.0,86.0,shroud16,1200.0,181.44837216417656,175.3700819531744,0.03465978998986338,2528.3256690710227,0.2171456493566183,276.8332237804748,False
14,2.4,3.5,2.0,86.0,open,1200.0,167.40349383805628,164.22169936722295,0.019374994188303834,1102.0833525146852,0.12738815214834456,277.0545565081268,False
12,2.0,3.5,2.0,100.0,open,1200.0,165.8262409358738,162.11724312346166,0.022878490535319145,1137.1841994654608,0.13600302551347523,278.6960950836609,False
12,2.4,4.5,2.0,100.0,shroud16,1200.0,166.2995198878973,162.0352481793674,0.02631693879228992,1868.3230626687148,0.20243083861700462,278.7477381443314,False
14,2.4,3.5,4.0,86.0,splitter12,600.0,228.6645763419706,220.8106936879066,0.0355683980829509,6751.8236187342045,0.07955927740331953,276.74982136382187,False
14,2.0,3.5,2.0,86.0,open,1200.0,164.0977970340929,160.52913470167638,0.022230620871709312,1102.0833525146852,0.12738815214834456,279.3634585870259,False
12,2.0,4.5,2.0,100.0,shroud16,1200.0,163.0357043096559,158.4362705691858,0.029030181813460534,1868.3230626687148,0.20243083861700462,281.06909461831253,False
12,2.4,3.5,2.0,86.0,open,1200.0,188.61974700574783,183.99341585531485,0.025144003816261223,1539.2734427684447,0.16588543609008105,281.2025865871135,False
14,2.0,3.5,4.0,86.0,splitter12,600.0,222.66220828020926,214.33137989513844,0.03886891592424157,6751.8236187342045,0.07955927740331953,279.45836897376273,False
14,2.4,3.5,4.0,100.0,shroud16,600.0,184.43731975458985,180.08464538705027,0.024170158195244863,2279.86190293464,0.09815811347035405,281.63560411043284,False
14,2.4,3.5,3.0,100.0,splitter12,600.0,205.66042343929385,199.6971883335516,0.02986138741113342,4991.461590937183,0.07026418246019632,282.46727371034774,False
12,2.4,4.5,4.0,100.0,open,1200.0,134.91268715118883,132.733149073435,0.01642045030174046,655.3216710617555,0.2982034406498971,283.19576867739056,False
12,2.4,4.5,2.0,86.0,shroud16,1200.0,185.4741854493245,179.75867150435167,0.03179548389594359,2528.3256690710227,0.2171456493566183,283.67226603703887,False
12,2.0,3.5,2.0,86.0,open,1200.0,184.4620018071138,179.40582638403617,0.02818289419572351,1539.2734427684447,0.16588543609008105,283.88350636915277,False
14,2.0,3.5,4.0,100.0,shroud16,600.0,180.45457112090483,175.68087756232143,0.027172527965600424,2279.86190293464,0.09815811347035405,284.01186882099694,False
14,2.0,3.5,3.0,100.0,splitter12,600.0,200.75471528958968,194.3376925254905,0.03301995964193869,4991.461590937183,0.07026418246019632,284.8384158018457,False
12,2.0,4.5,4.0,100.0,open,1200.0,132.73516005314187,130.2814374463469,0.018834015458307114,655.3216710617555,0.2982034406498971,285.5288659937145,False
12,2.4,3.5,4.0,100.0,shroud16,600.0,207.52990595422236,201.41652083283353,0.030351954726011078,3184.269930545077,0.11971574788868973,285.72442353268764,False
14,2.4,3.5,4.0,86.0,shroud16,600.0,205.37841187508818,199.4706752745439,0.029617068235283622,3084.733361470299,0.11492943597926897,286.3587794429968,False
12,2.0,4.5,2.0,86.0,shroud16,1200.0,181.44837216417656,175.3700819531744,0.03465978998986338,2528.3256690710227,0.2171456493566183,286.3624534260256,False
12,2.4,3.5,4.0,100.0,splitter12,600.0,231.0243912877597,222.92634850253492,0.036326090835030626,6971.545527837884,0.08217763537332423,276.19597421808294,False
12,2.0,3.5,4.0,100.0,shroud16,600.0,202.53876553829645,195.9693109062487,0.03352287458514647,3184.269930545077,0.11971574788868973,288.4814845680992,False
12,2.4,4.5,4.0,86.0,open,1200.0,150.81865370955663,147.67685470581478,0.0212748233973468,887.2858772118383,0.3290872931123488,288.79682461061634,False
